	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	PLATFORM	CHEMICAL_ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
214	arachidoylcarnitine (C20)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015833	1512	456.4047		.		HMDB06460
215	argininate*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	100002769	2150	176.103	157-07-3	160437		HMDB03148
216	arginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	231	2825	175.119	1119-34-2	232	C00062	HMDB00517
217	aripiprazole	Xenobiotics	Drug - Psychoactive	LC/MS Pos Late	100008941	1000	448.1553	129722-12-9	60795	D01164,C12564	HMDB05042
218	ascorbate (Vitamin C)	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	LC/MS Pos Early	233	770	177.0394	134-03-2	.	C00072	HMDB00044
219	asparagine	Amino Acid	Alanine and Aspartate Metabolism	LC/MS Pos Early	917	1225	133.0608	70-47-3	6267	C00152	HMDB00168
220	aspartate	Amino Acid	Alanine and Aspartate Metabolism	LC/MS Pos Early	234	1165	134.0448	56-84-8	5960	C00049	HMDB00191
221	azelate (C9-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	2029	1276	187.0976	123-99-9	2266	C08261	HMDB00784
222	behenoylcarnitine (C22)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015832	1561	484.436		.		
223	benzoate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100000008	1750	121.0295	65-85-0	243	C00180	HMDB01870
224	beta-alanine	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Pos Early	244	1905	90.055	56-41-7;107-95-9	239	C00099	HMDB00056
225	beta-citrylglutamate	Amino Acid	Glutamate Metabolism	LC/MS Neg	100003271	530	320.0623	73590-26-8	72715786	C20775	
226	beta-cryptoxanthin	Cofactors and Vitamins	Vitamin A Metabolism	LC/MS Pos Late	100001977	2560	552.4326	472-70-8	6384256		HMDB33844
227	beta-hydroxyisovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	1442	1027	117.0557	625-08-1	69362		HMDB00754
228	betaine	Amino Acid	Glycine, Serine and Threonine Metabolism	LC/MS Pos Early	799	1064	118.0863	107-43-7	247	C00719	HMDB00043
229	betonicine	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100002153	1012	160.0968	515-25-3	164642	C08269	HMDB29412
230	bilirubin (Z,Z)	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Pos Late	1090	1840	585.2708	635-65-4	5280352	C00486	HMDB00054
231	bilirubin (E,E)*	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Pos Late	100001950	1045	585.2708	114-25-0	5315454		
232	bilirubin (E,Z or Z,E)*	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Pos Late	100001951	1265	585.2708		5799469		HMDB00488
233	biliverdin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Pos Late	250	1016	583.2551	55482-27-4;55482-27-4	5353439	C00500	HMDB01008
234	butyrylcarnitine (C4)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	LC/MS Pos Early	100001054	2860	232.1543	25576-40-3	439829	C02862	HMDB02013
235	caffeic acid sulfate	Xenobiotics	Xanthine Metabolism	LC/MS Polar	100009337	1307	258.9918		.		HMDB41708
236	caffeine	Xenobiotics	Xanthine Metabolism	LC/MS Pos Early	849	2106	195.0877	58-08-2	2519	C07481	HMDB01847
237	campesterol	Lipid	Sterol	LC/MS Pos Late	100001269	2873	383.3672	474-62-4	173183	C01789	HMDB02869
238	caprate (10:0)	Lipid	Medium Chain Fatty Acid	LC/MS Neg	888	5090.7	171.1391	112-37-8	2969	C01571	HMDB00511
239	caproate (6:0)	Lipid	Medium Chain Fatty Acid	LC/MS Neg	926	2713.7	115.0765	142-62-1	8892	C01585	HMDB00535
240	caprylate (8:0)	Lipid	Medium Chain Fatty Acid	LC/MS Neg	932	4362	143.1078	124-07-2	379	C06423	HMDB00482
241	carboxyethyl-GABA	Amino Acid	Glutamate Metabolism	LC/MS Pos Early	100003260	2085	176.0917	4386-03-02 00:00:00	2572		HMDB02201
242	carboxyibuprofen	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Neg	100004171	1920	235.0976	15935-54-3	10444113		HMDB60564
243	carboxyibuprofen glucuronide*	Xenobiotics	Drug - Analgesics, Anesthetics	LC/MS Polar	100020212	2294	411.1297		.		HMDB60564
244	carnitine	Lipid	Carnitine Metabolism	LC/MS Pos Early	100000007	1978	162.1125	461-05-2	10917	C00318	HMDB00062
245	carotene diol (1)	Cofactors and Vitamins	Vitamin A Metabolism	LC/MS Pos Late	100015966	1720	568.4276		.		
246	carotene diol (2)	Cofactors and Vitamins	Vitamin A Metabolism	LC/MS Pos Late	100015967	1904	568.4279		.		
247	carotene diol (3)	Cofactors and Vitamins	Vitamin A Metabolism	LC/MS Pos Late	100015968	1948	568.4279		.		
248	catechol sulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001605	1906	188.9863	4918-96-1	3083879		HMDB59724
249	CE(12:0)	Cholesterol Ester	CE Ester	DMS-MS	100010641	.	.		.		
250	CE(14:0)	Cholesterol Ester	CE Ester	DMS-MS	100009600	.	.		.		
251	CE(14:1)	Cholesterol Ester	CE Ester	DMS-MS	100009601	.	.		.		
252	CE(15:0)	Cholesterol Ester	CE Ester	DMS-MS	100009602	.	.		.		
253	CE(16:0)	Cholesterol Ester	CE Ester	DMS-MS	100010463	.	.		.		
254	CE(16:1)	Cholesterol Ester	CE Ester	DMS-MS	100010464	.	.		.		
255	CE(17:0)	Cholesterol Ester	CE Ester	DMS-MS	100010270	.	.		.		
256	CE(18:0)	Cholesterol Ester	CE Ester	DMS-MS	100010271	.	.		.		
257	CE(18:1)	Cholesterol Ester	CE Ester	DMS-MS	100010642	.	.		.		
258	CE(18:2)	Cholesterol Ester	CE Ester	DMS-MS	100010116	.	.		.		
259	CE(18:3)	Cholesterol Ester	CE Ester	DMS-MS	100010117	.	.		.		
260	CE(18:4)	Cholesterol Ester	CE Ester	DMS-MS	100009771	.	.		.		
261	CE(20:0)	Cholesterol Ester	CE Ester	DMS-MS	100010465	.	.		.		
262	CE(20:1)	Cholesterol Ester	CE Ester	DMS-MS	100010466	.	.		.		
263	CE(20:2)	Cholesterol Ester	CE Ester	DMS-MS	100009772	.	.		.		
264	CE(20:3)	Cholesterol Ester	CE Ester	DMS-MS	100010467	.	.		.		
265	CE(20:4)	Cholesterol Ester	CE Ester	DMS-MS	100010643	.	.		.		
266	CE(20:5)	Cholesterol Ester	CE Ester	DMS-MS	100009943	.	.		.		
267	CE(22:0)	Cholesterol Ester	CE Ester	DMS-MS	100009773	.	.		.		
268	CE(22:1)	Cholesterol Ester	CE Ester	DMS-MS	100009944	.	.		.		
269	CE(22:2)	Cholesterol Ester	CE Ester	DMS-MS	100009417	.	.		.		
270	CE(22:4)	Cholesterol Ester	CE Ester	DMS-MS	100010272	.	.		.		
271	CE(22:5)	Cholesterol Ester	CE Ester	DMS-MS	100009945	.	.		.		
272	CE(22:6)	Cholesterol Ester	CE Ester	DMS-MS	100010118	.	.		.		
273	CE(24:0)	Cholesterol Ester	CE Ester	DMS-MS	100010273	.	.		.		
274	CE(24:1)	Cholesterol Ester	CE Ester	DMS-MS	100010274	.	.		.		
275	CER(14:0)	Sphingolipids	Ceramide	DMS-MS	100010644	.	.		.		
276	CER(16:0)	Sphingolipids	Ceramide	DMS-MS	100010119	.	.		.		
277	CER(18:0)	Sphingolipids	Ceramide	DMS-MS	100010468	.	.		.		
278	CER(18:1)	Sphingolipids	Ceramide	DMS-MS	100009774	.	.		.		
279	CER(20:0)	Sphingolipids	Ceramide	DMS-MS	100010469	.	.		.		
280	CER(20:1)	Sphingolipids	Ceramide	DMS-MS	100010120	.	.		.		
281	CER(22:0)	Sphingolipids	Ceramide	DMS-MS	100009775	.	.		.		
282	CER(22:1)	Sphingolipids	Ceramide	DMS-MS	100010275	.	.		.		
283	CER(24:0)	Sphingolipids	Ceramide	DMS-MS	100010470	.	.		.		
284	CER(24:1)	Sphingolipids	Ceramide	DMS-MS	100009776	.	.		.		
285	CER(26:0)	Sphingolipids	Ceramide	DMS-MS	100010645	.	.		.		
286	CER(26:1)	Sphingolipids	Ceramide	DMS-MS	100009946	.	.		.		
287	cerotoylcarnitine (C26)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015835	1649	540.4986		.		HMDB06347
288	cetirizine	Xenobiotics	Drug - Respiratory	LC/MS Pos Late	100009034	1052	389.1627	83881-51-0	2678	C07778	HMDB05032
289	C-glycosyltryptophan	Amino Acid	Tryptophan Metabolism	LC/MS Neg	100006379	1777	365.1354	180509-18-6	10981970		
290	chenodeoxycholate	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	1123	5264	391.2854	474-24-9;474-25-9	10133	C02528	HMDB00518
291	cholate	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	136	5165	407.2803	81-25-4	221493	C00695	HMDB00619
292	cholesterol	Lipid	Sterol	LC/MS Pos Late	266	2707	369.3516	57-88-5	11025495	C00187	HMDB00067
293	choline	Lipid	Phospholipid Metabolism	LC/MS Pos Early	1256	1961	104.107	67-48-1	305	C00114	HMDB00097
294	cimetidine	Xenobiotics	Drug - Gastrointestinal	LC/MS Neg	100004011	3176	251.1084	51481-61-9	.		
295	cinnamoylglycine	Xenobiotics	Food Component/Plant	LC/MS Neg	100002253	3127	204.0666	16534-24-0	709625		HMDB11621
296	cis-4-decenoylcarnitine (C10:1)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100002259	1057	314.2326	98930-66-6	.		
297	citramalate	Amino Acid	Glutamate Metabolism	LC/MS Pos Early	100000998	1224	166.071	6236-10-08 00:00:00	1081	C00815	HMDB00426
298	citrate	Energy	TCA Cycle	LC/MS Neg	1124	582	191.0197	77-92-9	311	C00158	HMDB00094
299	citrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	391	1520	176.103	372-75-8	9750	C00327	HMDB00904
300	cortisol	Lipid	Corticosteroids	LC/MS Neg	356	4710	361.202	50-23-7	5754	C00735	HMDB00063
301	cortisone	Lipid	Corticosteroids	LC/MS Neg	273	4575	359.1864	53-06-5	222786	C00762	HMDB02802
302	creatine	Amino Acid	Creatine Metabolism	LC/MS Pos Early	1221	1947	132.0768	57-00-1	586	C00300	HMDB00064
303	creatinine	Amino Acid	Creatine Metabolism	LC/MS Pos Early	275	2055	114.0662	60-27-5	588	C00791	HMDB00562
304	cyclo(gly-pro)	Peptide	Dipeptide	LC/MS Pos Early	100001946	1349	155.0815	3705-27-9	126154		
305	cyclo(leu-pro)	Peptide	Dipeptide	LC/MS Pos Early	100001925	2591	211.1441	2873-36-1	7074739		
306	cyclo(pro-val)	Peptide	Dipeptide	LC/MS Pos Early	100006065	2098	197.1285	2854-40-2	98951		
307	cys-gly, oxidized	Amino Acid	Glutathione Metabolism	LC/MS Pos Early	1224	2947	355.0741	7729-20-6	333293		
308	cystathionine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	310	2270	223.0747	535-34-2	439258	C02291	HMDB00099
309	cysteine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	800	1488	122.027	52-90-4;56-89-3	5862	C00097	HMDB00574
310	cysteine s-sulfate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Polar	100000808	2273	199.9693	1637-71-4	115015	C05824	HMDB00731
311	cysteine sulfinic acid	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	100002113	597	154.0169	207121-48-0	109	C00606	HMDB00996
312	cysteine-glutathione disulfide	Amino Acid	Glutathione Metabolism	LC/MS Pos Early	100001437	2465	427.0952	13081-14-6	4247235		HMDB00656
313	cysteinylglycine	Amino Acid	Glutathione Metabolism	LC/MS Pos Early	278	2132	179.0485	19246-18-5	439498	C01419	HMDB00078
314	cysteinylglycine disulfide*	Amino Acid	Glutathione Metabolism	LC/MS Pos Early	100002466	2547	298.0526	70555-24-7	.		HMDB00709
315	cystine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	279	2000	241.0311	56-89-3	67678	C00491	HMDB00192
316	cytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	LC/MS Neg	827	1325	242.0782	65-46-3	6175	C00475	HMDB00089
317	cytosine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	LC/MS Pos Early	881	2060	112.0505	71-30-7	597	C00380	HMDB00630
318	DAG(12:0/16:0)	Diacylglycerol	DAG Ester	DMS-MS	100009777	.	.		.		
319	DAG(12:0/18:0)	Diacylglycerol	DAG Ester	DMS-MS	100010121	.	.		.		
320	DAG(12:0/18:1)	Diacylglycerol	DAG Ester	DMS-MS	100009947	.	.		.		
321	DAG(12:0/18:2)	Diacylglycerol	DAG Ester	DMS-MS	100009603	.	.		.		
322	DAG(14:0/14:0)	Diacylglycerol	DAG Ester	DMS-MS	100009418	.	.		.		
323	DAG(14:0/16:0)	Diacylglycerol	DAG Ester	DMS-MS	100010471	.	.		.		
324	DAG(14:0/16:1)	Diacylglycerol	DAG Ester	DMS-MS	100010646	.	.		.		
325	DAG(14:0/18:1)	Diacylglycerol	DAG Ester	DMS-MS	100009948	.	.		.		
326	DAG(14:0/18:2)	Diacylglycerol	DAG Ester	DMS-MS	100010276	.	.		.		
327	DAG(14:0/18:3)	Diacylglycerol	DAG Ester	DMS-MS	100010472	.	.		.		
328	DAG(14:0/20:0)	Diacylglycerol	DAG Ester	DMS-MS	100010122	.	.		.		
329	DAG(14:0/20:4)	Diacylglycerol	DAG Ester	DMS-MS	100010123	.	.		.		
330	DAG(14:0/22:6)	Diacylglycerol	DAG Ester	DMS-MS	100010647	.	.		.		
331	DAG(14:1/16:0)	Diacylglycerol	DAG Ester	DMS-MS	100009604	.	.		.		
332	DAG(14:1/18:1)	Diacylglycerol	DAG Ester	DMS-MS	100010473	.	.		.		
333	DAG(15:0/18:1)	Diacylglycerol	DAG Ester	DMS-MS	100009605	.	.		.		
334	DAG(15:0/18:2)	Diacylglycerol	DAG Ester	DMS-MS	100010124	.	.		.		
335	DAG(16:0/16:0)	Diacylglycerol	DAG Ester	DMS-MS	100010125	.	.		.		
336	DAG(16:0/16:1)	Diacylglycerol	DAG Ester	DMS-MS	100010126	.	.		.		
337	DAG(16:0/18:0)	Diacylglycerol	DAG Ester	DMS-MS	100010648	.	.		.		
338	DAG(16:0/18:1)	Diacylglycerol	DAG Ester	DMS-MS	100009778	.	.		.		
339	DAG(16:0/18:2)	Diacylglycerol	DAG Ester	DMS-MS	100009419	.	.		.		
340	DAG(16:0/18:3)	Diacylglycerol	DAG Ester	DMS-MS	100010127	.	.		.		
341	DAG(16:0/20:3)	Diacylglycerol	DAG Ester	DMS-MS	100010649	.	.		.		
342	DAG(16:0/20:4)	Diacylglycerol	DAG Ester	DMS-MS	100009606	.	.		.		
343	DAG(16:0/20:5)	Diacylglycerol	DAG Ester	DMS-MS	100010650	.	.		.		
344	DAG(16:0/22:5)	Diacylglycerol	DAG Ester	DMS-MS	100010474	.	.		.		
345	DAG(16:0/22:6)	Diacylglycerol	DAG Ester	DMS-MS	100010128	.	.		.		
346	DAG(16:1/16:1)	Diacylglycerol	DAG Ester	DMS-MS	100009779	.	.		.		
347	DAG(16:1/18:0)	Diacylglycerol	DAG Ester	DMS-MS	100010277	.	.		.		
348	DAG(16:1/18:1)	Diacylglycerol	DAG Ester	DMS-MS	100010278	.	.		.		
349	DAG(16:1/18:2)	Diacylglycerol	DAG Ester	DMS-MS	100009780	.	.		.		
350	DAG(16:1/18:3)	Diacylglycerol	DAG Ester	DMS-MS	100010129	.	.		.		
351	DAG(16:1/20:0)	Diacylglycerol	DAG Ester	DMS-MS	100010651	.	.		.		
352	DAG(16:1/20:2)	Diacylglycerol	DAG Ester	DMS-MS	100010279	.	.		.		
353	DAG(16:1/20:4)	Diacylglycerol	DAG Ester	DMS-MS	100009420	.	.		.		
354	DAG(16:1/22:6)	Diacylglycerol	DAG Ester	DMS-MS	100009607	.	.		.		
355	DAG(18:0/18:1)	Diacylglycerol	DAG Ester	DMS-MS	100010652	.	.		.		
356	DAG(18:0/18:2)	Diacylglycerol	DAG Ester	DMS-MS	100009421	.	.		.		
357	DAG(18:0/18:3)	Diacylglycerol	DAG Ester	DMS-MS	100010130	.	.		.		
358	DAG(18:0/22:6)	Diacylglycerol	DAG Ester	DMS-MS	100009422	.	.		.		
359	DAG(18:1/18:1)	Diacylglycerol	DAG Ester	DMS-MS	100009423	.	.		.		
360	DAG(18:1/18:2)	Diacylglycerol	DAG Ester	DMS-MS	100009424	.	.		.		
361	DAG(18:1/20:1)	Diacylglycerol	DAG Ester	DMS-MS	100009949	.	.		.		
362	DAG(18:1/20:2)	Diacylglycerol	DAG Ester	DMS-MS	100010475	.	.		.		
363	DAG(18:1/20:3)	Diacylglycerol	DAG Ester	DMS-MS	100009781	.	.		.		
364	DAG(18:1/20:4)	Diacylglycerol	DAG Ester	DMS-MS	100009608	.	.		.		
365	DAG(18:1/20:5)	Diacylglycerol	DAG Ester	DMS-MS	100009425	.	.		.		
366	DAG(18:1/22:4)	Diacylglycerol	DAG Ester	DMS-MS	100009426	.	.		.		
367	DAG(18:1/22:5)	Diacylglycerol	DAG Ester	DMS-MS	100009950	.	.		.		
368	DAG(18:1/22:6)	Diacylglycerol	DAG Ester	DMS-MS	100009609	.	.		.		
369	DAG(18:2/18:3)	Diacylglycerol	DAG Ester	DMS-MS	100009427	.	.		.		
370	DAG(18:2/20:3)	Diacylglycerol	DAG Ester	DMS-MS	100010280	.	.		.		
371	DAG(18:2/20:4)	Diacylglycerol	DAG Ester	DMS-MS	100009610	.	.		.		
372	DAG(18:2/20:5)	Diacylglycerol	DAG Ester	DMS-MS	100010653	.	.		.		
373	DAG(18:2/22:4)	Diacylglycerol	DAG Ester	DMS-MS	100010281	.	.		.		
374	DAG(18:2/22:5)	Diacylglycerol	DAG Ester	DMS-MS	100009611	.	.		.		
375	DAG(18:2/22:6)	Diacylglycerol	DAG Ester	DMS-MS	100010654	.	.		.		
376	daidzein sulfate (2)	Xenobiotics	Food Component/Plant	LC/MS Neg	100006363	3330	333.0076		.		
377	DCER(14:0)	Sphingolipids	Dihydroceramide	DMS-MS	100009951	.	.		.		
378	DCER(16:0)	Sphingolipids	Dihydroceramide	DMS-MS	100010282	.	.		.		
379	DCER(18:0)	Sphingolipids	Dihydroceramide	DMS-MS	100009612	.	.		.		
380	DCER(18:1)	Sphingolipids	Dihydroceramide	DMS-MS	100010131	.	.		.		
381	DCER(20:0)	Sphingolipids	Dihydroceramide	DMS-MS	100009428	.	.		.		
382	DCER(20:1)	Sphingolipids	Dihydroceramide	DMS-MS	100010132	.	.		.		
383	DCER(22:0)	Sphingolipids	Dihydroceramide	DMS-MS	100009613	.	.		.		
384	DCER(22:1)	Sphingolipids	Dihydroceramide	DMS-MS	100016011	.	.		.		
385	DCER(22:2)	Sphingolipids	Dihydroceramide	DMS-MS	100009952	.	.		.		
386	DCER(24:0)	Sphingolipids	Dihydroceramide	DMS-MS	100010476	.	.		.		
387	DCER(24:1)	Sphingolipids	Dihydroceramide	DMS-MS	100009614	.	.		.		
388	DCER(26:0)	Sphingolipids	Dihydroceramide	DMS-MS	100009782	.	.		.		
389	DCER(26:1)	Sphingolipids	Dihydroceramide	DMS-MS	100009429	.	.		.		
390	decanoylcarnitine (C10)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100001251	1130	316.2482	1492-27-9	10245190		HMDB00651
391	dehydroisoandrosterone sulfate (DHEA-S)	Lipid	Androgenic Steroids	LC/MS Neg	100000792	4745	367.1585	651-48-9	12594	C04555	HMDB01032
392	delta-CEHC*	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Neg	100020416	3422	249.1132	84599-16-6	11536125		
393	deoxycarnitine	Lipid	Carnitine Metabolism	LC/MS Pos Early	100001662	2052	146.1176	6249-56-5	134	C01181	HMDB01161
394	deoxycholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	302	5294	391.2854	83-44-3	222528	C04483	HMDB00626
395	dihomo-linolenoylcarnitine (C20:3n3 or 6)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015840	1392	450.3578		.		
396	dihomo-linoleoylcarnitine (C20:2)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015839	1436	452.3734		.		
397	dihydroferulic acid	Xenobiotics	Food Component/Plant	LC/MS Neg	100003432	1928	195.0663	1135-23-5	14340		
398	dihydroorotate	Nucleotide	Pyrimidine Metabolism, Orotate containing	LC/MS Polar	923	1910	157.0255	155-54-4	648	C00337	HMDB03349
399	dimethylarginine (SDMA + ADMA)	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	100001810	2850	203.1503	102783-24-4	123831	C03626	HMDB01539
400	dimethylglycine	Amino Acid	Glycine, Serine and Threonine Metabolism	LC/MS Pos Early	806	1104	104.0706	1118-68-9	673	C01026	HMDB00092
401	docosadioate (C22-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100002952	5291.8	369.301	505-56-6	244872	C19625	
402	dodecanedioate (C12-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100001102	2990	229.1445	693-23-2	12736	C02678	HMDB00623
403	dodecenedioate (C12:1-DC)*	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100019972	2700	227.1289		.		
404	dopamine 3-O-sulfate	Amino Acid	Tyrosine Metabolism	LC/MS Neg	100006361	1556.2	232.0285		122136	C13690	HMDB06275
405	dopamine 4-sulfate	Amino Acid	Tyrosine Metabolism	LC/MS Neg	100006360	1511	232.0285		123932	C13691	HMDB04148
406	Fibrinopeptide A, des-ala(1)*	Peptide	Fibrinogen Cleavage Peptide	LC/MS Neg	100001323	2535	731.3168		.		
407	ectoine	Xenobiotics	Chemical	LC/MS Pos Early	100001635	1980	143.0815	96702-03-3	126041	C06231	
408	eicosanodioate (C20-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100002951	5200.9	341.2697	2424-92-2	75502		
409	eicosenoylcarnitine (C20:1)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015838	1484	454.3891		.		
410	epiandrosterone sulfate	Lipid	Androgenic Steroids	LC/MS Neg	100001287	4855	369.1741	22229-22-7	9929317		
411	equol glucuronide	Xenobiotics	Food Component/Plant	LC/MS Neg	100003895	3215	417.1191		.		
412	equol sulfate	Xenobiotics	Food Component/Plant	LC/MS Neg	100003429	3630	321.0438		.		
413	ergothioneine	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100002154	850	230.0958	58511-63-0	3032311	C05570	HMDB03045
414	erythritol	Xenobiotics	Food Component/Plant	LC/MS Polar	100000846	1491	167.0561	149-32-6	222285	C00503	HMDB02994
415	erythronate*	Carbohydrate	Aminosugar Metabolism	LC/MS Polar	100001320	2186	135.0299	88759-55-1	2781043		HMDB00613
416	ethylmalonate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	2054	2785	131.035	601-75-2	11756		HMDB00622
417	etiocholanolone glucuronide	Lipid	Androgenic Steroids	LC/MS Neg	100005403	4915	465.2494	3602-09-03 00:00:00	270605		HMDB04484
418	eugenol sulfate	Xenobiotics	Food Component/Plant	LC/MS Neg	100006171	3782	243.0333	95480-60-7	180632		
419	ferulic acid 4-sulfate	Xenobiotics	Food Component/Plant	LC/MS Neg	100005389	1200	273.0074	86321-29-1	6305574		HMDB29200
420	FFA(12:0)	Free Fatty Acids	Saturated FFA	DMS-MS	100010656	.	.		.		
421	FFA(14:0)	Free Fatty Acids	Saturated FFA	DMS-MS	100009615	.	.		.		
422	FFA(14:1)	Free Fatty Acids	Monounsaturated FFA	DMS-MS	100010133	.	.		.		
423	FFA(15:0)	Free Fatty Acids	Saturated FFA	DMS-MS	100010283	.	.		.		
424	FFA(16:0)	Free Fatty Acids	Saturated FFA	DMS-MS	100010134	.	.		.		
425	FFA(16:1)	Free Fatty Acids	Monounsaturated FFA	DMS-MS	100010284	.	.		.		
426	FFA(17:0)	Free Fatty Acids	Saturated FFA	DMS-MS	100009616	.	.		.		
427	FFA(18:0)	Free Fatty Acids	Saturated FFA	DMS-MS	100009953	.	.		.		
428	FFA(18:1)	Free Fatty Acids	Monounsaturated FFA	DMS-MS	100009617	.	.		.		
429	FFA(18:2)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100009783	.	.		.		
430	FFA(18:4)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100009784	.	.		.		
431	FFA(20:0)	Free Fatty Acids	Saturated FFA	DMS-MS	100009618	.	.		.		
432	FFA(20:1)	Free Fatty Acids	Monounsaturated FFA	DMS-MS	100010135	.	.		.		
433	FFA(20:2)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100010285	.	.		.		
434	FFA(20:3)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100010286	.	.		.		
435	FFA(20:4)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100009619	.	.		.		
436	FFA(20:5)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100010477	.	.		.		
437	FFA(22:0)	Free Fatty Acids	Saturated FFA	DMS-MS	100010287	.	.		.		
438	FFA(22:1)	Free Fatty Acids	Monounsaturated FFA	DMS-MS	100009620	.	.		.		
439	FFA(22:2)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100009431	.	.		.		
440	FFA(22:4)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100009785	.	.		.		
441	FFA(22:5)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100010657	.	.		.		
442	FFA(22:6)	Free Fatty Acids	Polyunsaturated FFA (PUFA)	DMS-MS	100009954	.	.		.		
443	FFA(24:0)	Free Fatty Acids	Saturated FFA	DMS-MS	100009955	.	.		.		
444	FFA(24:1)	Free Fatty Acids	Monounsaturated FFA	DMS-MS	100010288	.	.		.		
445	fluconazole	Xenobiotics	Drug - Antibiotic	LC/MS Pos Early	100015972	2731	307.1114	86386-73-4	3365	D00322	HMDB14342
446	formiminoglutamate	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100002500	1880	175.0713	816-90-0	439233	C00439	HMDB00854
447	fructose	Carbohydrate	Fructose, Mannose and Galactose Metabolism	LC/MS Polar	878	2065	225.0616	57-48-7	5984	C00095	HMDB00660
448	fumarate	Energy	TCA Cycle	LC/MS Polar	330	3084	115.0037	100-17-8	444972	C00122	HMDB00134
449	gamma-CEHC	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Neg	100002094	3843	263.1289	178167-75-4	133098		HMDB01931
450	gamma-CEHC glucuronide*	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Neg	100004243	2500	439.161		.		
451	gamma-glutamylalanine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100001843	1986	219.0976	5875-41-2	440103		HMDB29142
452	gamma-glutamyl-alpha-lysine	Peptide	Gamma-glutamyl Amino Acid	LC/MS Pos Early	100010901	2784	276.1554		65254		
