	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	PLATFORM	CHEMICAL ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
204	5-acetylamino-6-formylamino-3-methyluracil	Xenobiotics	Xanthine Metabolism	LC/MS Polar	100001402	1424	225.0629	85438-96-6	108214	C16365	HMDB11105
205	5alpha-androstan-3alpha,17alpha-diol monosulfate	Lipid	Androgenic Steroids	LC/MS Neg	100002008	5208	371.1898		.		
206	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	Lipid	Androgenic Steroids	LC/MS Neg	100002018	4925	371.1898		.		
207	5alpha-androstan-3beta,17alpha-diol monosulfate (1)	Lipid	Androgenic Steroids	LC/MS Neg	100002022	4806	371.1898		.		
208	5alpha-androstan-3beta,17beta-diol disulfate	Lipid	Androgenic Steroids	LC/MS Neg	100001987	3880	225.0697	571-20-0	242332	C12525	HMDB00493
209	5alpha-androstan-3beta,17beta-diol monosulfate (1)	Lipid	Androgenic Steroids	LC/MS Neg	100002023	4635	371.1898		.		
210	5alpha-pregnan-3beta,20alpha-diol disulfate	Lipid	Progestin Steroids	LC/MS Neg	100001988	3962	239.0853		.		
211	5alpha-pregnan-3beta,20alpha-diol monosulfate (1)	Lipid	Progestin Steroids	LC/MS Neg	100002013	4928	399.2211		.		
212	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	Lipid	Progestin Steroids	LC/MS Neg	100002009	5180	399.2211		.		
213	5alpha-pregnan-diol disulfate	Lipid	Progestin Steroids	LC/MS Neg	100002015	4310	239.0853		5127902		
214	5-aminovalerate	Amino Acid	Lysine Metabolism	LC/MS Pos Early	100000454	2220	118.0863	660-88-8	138	C00431	HMDB03355
215	5-dodecenoate (12:1n7)	Lipid	Medium Chain Fatty Acid	LC/MS Neg	100001232	5224	197.1547	2430-94-6	5312378		HMDB00529
216	5-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100001148	1267	131.0714	44843-89-2	170748		HMDB00525
217	5-hydroxylysine	Amino Acid	Lysine Metabolism	LC/MS Pos Early	100000054	2790	163.1077	13204-98-3	1029	C16741	HMDB00450
218	5-hydroxymethylfurfural	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100002057	1542	127.039	67-47-0	237332	C11101	HMDB34355
219	5-methylthioadenosine (MTA)	Amino Acid	Polyamine Metabolism	LC/MS Pos Early	212	2752	298.0968	2457-80-9	439176	C00170	HMDB01173
220	5-methyluridine (ribothymidine)	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Neg	100001446	1778.1	257.0779	1463-10-1	445408		HMDB00884
221	5-oxoproline	Amino Acid	Glutathione Metabolism	LC/MS Neg	1021	738.5	128.0353	98-79-3	7405	C01879	HMDB00267
222	6-hydroxynicotinate	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	LC/MS Polar	100000809	2000	138.0197	5006-66-6	72924	C01020	HMDB02658
223	6-oxolithocholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001068	5033	389.2697	2393-61-5	164960		
224	6-oxopiperidine-2-carboxylate	Amino Acid	Lysine Metabolism	LC/MS Polar	100004499	1692	142.051	34622-39-4	3014237		HMDB61705
225	7-ketocholesterol	Lipid	Sterol	LC/MS Pos Late	100001100	2413	383.3309	566-28-9	91474		HMDB00501
226	7-ketodeoxycholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001063	4821	405.2646	911-40-0	188292		HMDB00391
227	7-ketolithocholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001069	5082	389.2697	4651-67-6	444262		HMDB00467
228	7-methylguanine	Nucleotide	Purine Metabolism, Guanine containing	LC/MS Pos Early	100001456	2175	166.0723	578-76-7	11361	C02242	HMDB00897
229	7-methylurate	Xenobiotics	Xanthine Metabolism	LC/MS Pos Early	100002241	1321	183.0513	612-37-3	69160	C16355	HMDB11107
230	7-methylxanthine	Xenobiotics	Xanthine Metabolism	LC/MS Pos Early	100001396	1350	167.0564	552-62-5	68374	C16353	HMDB01991
231	8-hydroxyguanine	Nucleotide	Purine Metabolism, Guanine containing	LC/MS Pos Early	100002744	951	168.0516	5614-64-2	65154	C20155	HMDB02032
232	8-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100000956	2300	159.1027	764-89-6	69820		HMDB61914
233	9,10-DiHOME	Lipid	Fatty Acid, Dihydroxy	LC/MS Neg	179	5180	313.2384	263399-34-4	9966640	C14828	HMDB04704
234	9-HOTrE	Lipid	Fatty Acid, Monohydroxy	LC/MS Neg	100015636	5210	293.2122	89886-42-0	6439873	C16326	
235	acesulfame	Xenobiotics	Food Component/Plant	LC/MS Polar	100006203	756	161.9867	55589-62-3	36573		HMDB33585
236	acetylcarnitine (C2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Early	100000802	2282	204.123	5080-50-2	1	C02571	HMDB00201
237	acisoga	Amino Acid	Polyamine Metabolism	LC/MS Pos Early	100004541	1813	185.1285	106692-36-8	129397		
238	aconitate [cis or trans]	Energy	TCA Cycle	LC/MS Neg	100001359	580	173.0092		.		
239	adenine	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Pos Early	880	2221	136.0618	73-24-5	190	C00147	HMDB00034
240	adenosine	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Pos Early	798	2169	268.104	58-61-7	60961	C00212	HMDB00050
241	adenosine-2',3'-cyclic monophosphate	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Neg	72	1793	328.0452	37063-35-7	2024	C02353	HMDB11616
242	adipate (C6-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100000863	3000	145.0506	124-04-9	196	C06104	HMDB00448
243	adrenate (22:4n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	LC/MS Neg	100001193	5678	331.2643	2091-25-0	5497181	C16527	HMDB02226
244	alanine	Amino Acid	Alanine and Aspartate Metabolism	LC/MS Pos Early	811	1700	90.055	56-41-7	5950	C00041	HMDB00161
245	alanylleucine	Peptide	Dipeptide	LC/MS Pos Early	100001890	3055	203.139	1638-60-4	259583		HMDB28691
246	allantoin	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	LC/MS Polar	1002	1672	157.0367	97-59-6	204	C02350	HMDB00462
247	allo-threonine	Amino Acid	Glycine, Serine and Threonine Metabolism	LC/MS Polar	100000272	2511.1	118.051	28954-12-3	99289	C05519	HMDB04041
248	alpha-CEHC	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Neg	100002206	4045	277.1445	4072-32-6	9943542		HMDB01518
249	alpha-CEHC sulfate	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Neg	100005972	3090	357.1013		.		
250	alpha-CEHC taurine*	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Neg	100005975	4117	384.1486		.		
251	alpha-hydroxyisocaproate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Neg	100000706	1840	131.0714	10303-64-7	83697	C03264	HMDB00746
252	alpha-hydroxyisovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	100001300	1052	117.0557	600-37-3	99823		HMDB00407
253	alpha-ketobutyrate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Polar	796	940	101.0244	600-18-0	58	C00109	HMDB00005
254	alpha-ketoglutaramate**	Amino Acid	Glutamate Metabolism	LC/MS Polar	100002397	1916	144.0302	18465-19-5	.		
255	alpha-ketoglutarate	Energy	TCA Cycle	LC/MS Polar	93	2700	145.0143	305-72-6;328-50-7;22202-68-2	51	C00026	HMDB00208
256	alpha-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Pos Late	1105	2522	430.3782	59-02-9;10191-41-0	14985	C02477	HMDB01893
257	alpha-tocopherol acetate	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Pos Late	100002328	2702	490.4255	7695-31-2	2117	C13202	HMDB34227
258	alpha-tocotrienol	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Pos Late	100001979	1986	424.3336	58864-81-6	5282347	C14153	HMDB06327
259	adenosine 5'-monophosphate (AMP)	Nucleotide	Purine Metabolism, Adenine containing	LC/MS Pos Early	209	1013	348.0704	149022-20-8	6083	C00020	HMDB00045
260	androstenediol (3alpha, 17alpha) monosulfate (2)	Lipid	Androgenic Steroids	LC/MS Neg	100002026	4712	369.1741		.		
261	androstenediol (3beta,17beta) disulfate (1)	Lipid	Androgenic Steroids	LC/MS Neg	100001992	3740	224.0618		87120982	C04295	HMDB03818
262	androstenediol (3beta,17beta) disulfate (2)	Lipid	Androgenic Steroids	LC/MS Neg	100001994	4065	224.0624		87120982	C04295	HMDB03818
263	androstenediol (3beta,17beta) monosulfate (1)	Lipid	Androgenic Steroids	LC/MS Neg	100002028	4535	369.1741	521-17-5	13847309		HMDB03818
264	androsterone sulfate	Lipid	Androgenic Steroids	LC/MS Neg	100001073	5022	369.1741	2479-86-9	159663		HMDB02759
265	anserine	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100000044	2924	241.1295	10030-52-1	112072	C01262	HMDB00194
266	apigenin	Xenobiotics	Food Component/Plant	LC/MS Neg	100000935	3845	269.0455	520-36-5	5280443	C01477	HMDB02124
267	arabinose	Carbohydrate	Pentose Metabolism	LC/MS Polar	828	1804.5	195.051	28697-53-2	66308	C00216	HMDB00646
268	arabitol/xylitol	Carbohydrate	Pentose Metabolism	LC/MS Polar	100006430	1932.4	151.0612		6912	C01904	
269	arabonate/xylonate	Carbohydrate	Pentose Metabolism	LC/MS Polar	100006115	2700	165.0405		.		
270	arachidate (20:0)	Lipid	Long Chain Fatty Acid	LC/MS Neg	893	6240	311.2956	506-30-9	10467	C06425	HMDB02212
271	arachidonate (20:4n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	LC/MS Neg	229	5535	303.233	506-32-1	444899	C00219	HMDB01043
272	arachidoyl ethanolamide (20:0)*	Lipid	Endocannabinoid	LC/MS Pos Late	100015853	1941	356.3523		3787294		
273	arachidoylcarnitine (C20)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015833	1512	456.4047		.		HMDB06460
274	argininate*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	100002769	2150	176.103	157-07-3	160437		HMDB03148
275	arginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	231	2825	175.119	1119-34-2	232	C00062	HMDB00517
276	argininosuccinate	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	232	2745	291.1299	156637-58-0	828	C03406	HMDB00052
277	aripiprazole	Xenobiotics	Drug - Psychoactive	LC/MS Pos Late	100008941	1000	448.1553	129722-12-9	60795	D01164,C12564	HMDB05042
278	asparagine	Amino Acid	Alanine and Aspartate Metabolism	LC/MS Pos Early	917	1225	133.0608	70-47-3	6267	C00152	HMDB00168
279	aspartate	Amino Acid	Alanine and Aspartate Metabolism	LC/MS Pos Early	234	1165	134.0448	56-84-8	5960	C00049	HMDB00191
280	azelate (C9-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	2029	1276	187.0976	123-99-9	2266	C08261	HMDB00784
281	behenate (22:0)*	Lipid	Long Chain Fatty Acid	LC/MS Neg	314	6745	339.3269	112-85-6	8215	C08281	HMDB00944
282	behenoyl ethanolamide (22:0)*	Lipid	Endocannabinoid	LC/MS Pos Late	100015854	2164	384.3836		3023585		
283	behenoylcarnitine (C22)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015832	1561	484.436		.		
284	benzoate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100000008	1750	121.0295	65-85-0	243	C00180	HMDB01870
285	berberine	Xenobiotics	Food Component/Plant	LC/MS Pos Late	100002774	795	336.123	633-66-9	.		
286	beta-alanine	Nucleotide	Pyrimidine Metabolism, Uracil containing	LC/MS Pos Early	244	1905	90.055	56-41-7;107-95-9	239	C00099	HMDB00056
287	beta-cryptoxanthin	Cofactors and Vitamins	Vitamin A Metabolism	LC/MS Pos Late	100001977	2560	552.4326	472-70-8	6384256		HMDB33844
288	beta-guanidinopropanoate	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100001411	2145	132.0768	353-09-3	67701	C03065	HMDB13222
289	beta-hydroxyisovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	1442	1149.8	117.0557	625-08-1	69362		HMDB00754
290	betaine	Amino Acid	Glycine, Serine and Threonine Metabolism	LC/MS Pos Early	799	1064	118.0863	107-43-7	247	C00719	HMDB00043
291	beta-muricholate	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	100001066	4794	407.2803	2393-59-1	5283853	C17726	HMDB00415
292	beta-sitosterol	Lipid	Sterol	LC/MS Pos Late	100001033	3054	397.3829	83-46-5	222284	C01753	HMDB00852
293	betonicine	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100002153	1012	160.0968	515-25-3	164642	C08269	HMDB29412
294	bilirubin (Z,Z)	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Pos Late	1090	1840	585.2708	635-65-4	5280352	C00486	HMDB00054
295	bilirubin (E,E)*	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Pos Late	100001950	1045	585.2708	114-25-0	5315454		
296	bilirubin (E,Z or Z,E)*	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Pos Late	100001951	1265	585.2708		5799469		HMDB00488
297	biliverdin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Neg	250	4695.6	581.2406	55482-27-4;55482-27-4	5353439	C00500	HMDB01008
298	biotin	Cofactors and Vitamins	Biotin Metabolism	LC/MS Pos Early	251	2253	245.0955	58-85-5	171548	C00120	HMDB00030
299	bufotenine	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100003734	2564	205.1335	487-93-4	10257	C08299	HMDB41842
300	butyrylglycine	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	LC/MS Neg	100001151	1470	144.0666	20208-73-5	88412		HMDB00808
301	cadaverine	Amino Acid	Lysine Metabolism	LC/MS Pos Early	100000110	3036	103.123	462-94-2;1476-39-7	273	C01672	HMDB02322
302	caffeate	Xenobiotics	Food Component/Plant	LC/MS Neg	100000914	1165	179.035	331-39-5	689043	C01197	HMDB01964
303	campesterol	Lipid	Sterol	LC/MS Pos Late	100001269	2873	383.3672	474-62-4	173183	C01789	HMDB02869
304	caprate (10:0)	Lipid	Medium Chain Fatty Acid	LC/MS Neg	888	5090.7	171.1391	112-37-8	2969	C01571	HMDB00511
305	caproate (6:0)	Lipid	Medium Chain Fatty Acid	LC/MS Neg	926	2713.7	115.0765	142-62-1	8892	C01585	HMDB00535
306	caprylate (8:0)	Lipid	Medium Chain Fatty Acid	LC/MS Neg	932	4362	143.1078	124-07-2	379	C06423	HMDB00482
307	carboxyethyl-GABA	Amino Acid	Glutamate Metabolism	LC/MS Pos Early	100003260	2085	176.0917	4386-03-02 00:00:00	2572		HMDB02201
308	carnitine	Lipid	Carnitine Metabolism	LC/MS Pos Early	100000007	1978	162.1125	461-05-2	10917	C00318	HMDB00062
309	carnosine	Amino Acid	Histidine Metabolism	LC/MS Pos Early	249	2942	227.1139	305-84-0	439224	C00386	HMDB00033
310	carotene diol (1)	Cofactors and Vitamins	Vitamin A Metabolism	LC/MS Pos Late	100015966	1720	568.4276		.		
311	carotene diol (2)	Cofactors and Vitamins	Vitamin A Metabolism	LC/MS Pos Late	100015967	1904	568.4279		.		
312	carotene diol (3)	Cofactors and Vitamins	Vitamin A Metabolism	LC/MS Pos Late	100015968	1948	568.4279		.		
313	catechol sulfate	Xenobiotics	Benzoate Metabolism	LC/MS Neg	100001605	1906	188.9863	4918-96-1	3083879		HMDB59724
314	ceramide (d16:1/24:1, d18:1/22:1)*	Lipid	Ceramides	LC/MS Pos Late	100015727	3850	620.5976		.		
315	ceramide (d18:1/14:0, d16:1/16:0)*	Lipid	Ceramides	LC/MS Pos Late	100015735	2477	510.4881		.		
316	ceramide (d18:1/17:0, d17:1/18:0)*	Lipid	Ceramides	LC/MS Pos Late	100015737	3055	552.5351		.		
317	ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*	Lipid	Ceramides	LC/MS Pos Late	100015755	3920	594.582		.		
318	ceramide (d18:2/24:1, d18:1/24:2)*	Lipid	Ceramides	LC/MS Pos Late	100015744	3858	646.6133		.		
319	cerotoylcarnitine (C26)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015835	1649	540.4986		.		HMDB06347
320	cetirizine	Xenobiotics	Drug - Respiratory	LC/MS Pos Late	100009034	1052	389.1627	83881-51-0	2678	C07778	HMDB05032
321	chenodeoxycholate	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	1123	5264	391.2854	474-24-9;474-25-9	10133	C02528	HMDB00518
322	chiro-inositol	Lipid	Inositol Metabolism	LC/MS Polar	100001859	3191.2	225.0616	643-12-9	.	C19891	HMDB34220
323	cholate	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	136	5165	407.2803	81-25-4	221493	C00695	HMDB00619
324	cholate sulfate	Lipid	Primary Bile Acid Metabolism	LC/MS Neg	100006637	4557	243.1149		.		
325	cholesterol	Lipid	Sterol	LC/MS Pos Late	266	2707	369.3516	57-88-5	11025495	C00187	HMDB00067
326	choline	Lipid	Phospholipid Metabolism	LC/MS Pos Early	1256	1961	104.107	67-48-1	305	C00114	HMDB00097
327	ciliatine (2-aminoethylphosphonate)	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100000086	736	126.0315	2041-14-7	339	C03557	HMDB11747
328	cis-urocanate	Amino Acid	Histidine Metabolism	LC/MS Neg	100003425	1200	137.0357	7699-35-6	1549103		HMDB34174
329	citrate	Energy	TCA Cycle	LC/MS Neg	1124	582	191.0197	77-92-9	311	C00158	HMDB00094
330	citrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	391	1520	176.103	372-75-8	9750	C00327	HMDB00904
331	cytidine 5'-monophosphate (5'-CMP)	Nucleotide	Pyrimidine Metabolism, Cytidine containing	LC/MS Pos Early	282	835	324.0591	63-37-6	6131	C00055	HMDB00095
332	coprostanol	Lipid	Sterol	LC/MS Pos Late	100005346	2850	371.3672	360-68-9	221122		HMDB00577
333	creatine	Amino Acid	Creatine Metabolism	LC/MS Pos Early	1221	1947	132.0768	57-00-1	586	C00300	HMDB00064
334	creatinine	Amino Acid	Creatine Metabolism	LC/MS Pos Early	275	2055	114.0662	60-27-5	588	C00791	HMDB00562
335	curcumin	Xenobiotics	Food Component/Plant	LC/MS Pos Late	100001975	1085	369.1333	458-37-7	969516	C10443	HMDB02269
336	cysteine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	800	1488	122.027	52-90-4;56-89-3	5862	C00097	HMDB00574
337	cysteine s-sulfate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Polar	100000808	2273	199.9693	1637-71-4	115015	C05824	HMDB00731
338	cysteine sulfinic acid	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Pos Early	100002113	597	154.0169	207121-48-0	109	C00606	HMDB00996
339	cystine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	LC/MS Neg	279	665	239.0166	56-89-3	67678	C00491	HMDB00192
340	cytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	LC/MS Pos Early	827	2124	244.0928	65-46-3	6175	C00475	HMDB00089
341	cytidine 2',3'-cyclic monophosphate	Nucleotide	Pyrimidine Metabolism, Cytidine containing	LC/MS Neg	73	937	304.034	15718-51-1	417654	C02354	HMDB11691
342	cytosine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	LC/MS Pos Early	881	2060	112.0505	71-30-7	597	C00380	HMDB00630
343	daidzein	Xenobiotics	Food Component/Plant	LC/MS Neg	100001219	3566	253.0506	486-66-8	5281708	C10208	HMDB03312
344	dehydroisoandrosterone sulfate (DHEA-S)	Lipid	Androgenic Steroids	LC/MS Neg	100000792	4745	367.1585	651-48-9	12594	C04555	HMDB01032
345	dehydrolithocholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100001067	5360	373.2748	1553-56-6	159623		HMDB00502
346	delta-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	LC/MS Pos Late	100001216	2259	402.3492	119-13-1	92094	C14151	HMDB02902
347	deoxycarnitine	Lipid	Carnitine Metabolism	LC/MS Pos Early	100001662	2052	146.1176	6249-56-5	134	C01181	HMDB01161
348	deoxycholate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	302	5294	391.2854	83-44-3	222528	C04483	HMDB00626
349	deoxycholic acid sulfate	Lipid	Secondary Bile Acid Metabolism	LC/MS Neg	100006638	4880	235.1175		.		
350	diacetylspermidine*	Amino Acid	Polyamine Metabolism	LC/MS Pos Early	100020242	2510	230.1863		.		
351	diacylglycerol (12:0/18:1, 14:0/16:1, 16:0/14:1) [2]*	Lipid	Diacylglycerol	LC/MS Pos Late	100010959	2716	556.4936		.		
352	diacylglycerol (14:0/18:1, 16:0/16:1) [1]*	Lipid	Diacylglycerol	LC/MS Pos Late	100010934	3057	584.5249		.		
353	diacylglycerol (14:0/18:1, 16:0/16:1) [2]*	Lipid	Diacylglycerol	LC/MS Pos Late	100010935	3183	584.5249		.		
354	diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*	Lipid	Diacylglycerol	LC/MS Pos Late	100010940	2733	608.5249		.		
355	diaminopimelate	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100000115	2569	191.1026	1476-39-7;2577-62-0	439283	C00666	HMDB01370
356	digalacturonic acid	Xenobiotics	Food Component/Plant	LC/MS Neg	100000934	603.5	369.0675	5894-59-7	6857565	C02273	HMDB39721
357	diglycerol	Xenobiotics	Chemical	LC/MS Pos Early	100003700	818	167.0914	627-82-7	42953		
358	dihomo-linoleate (20:2n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	LC/MS Neg	1231	5730	307.2643	2091-39-6	6439848	C16525	HMDB05060
359	dihomo-linolenate (20:3n3 or n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	LC/MS Neg	100001739	5596	305.2486	17046-59-2	5280581	C03242	HMDB02925
360	dihydrocaffeate	Xenobiotics	Food Component/Plant	LC/MS Neg	100002451	1430	181.0506	1078-61-1	348154	C10447	HMDB00423
361	dihydroferulic acid	Xenobiotics	Food Component/Plant	LC/MS Neg	100003432	1928	195.0663	1135-23-5	14340		
362	dihydroorotate	Nucleotide	Pyrimidine Metabolism, Orotate containing	LC/MS Polar	923	1910	157.0255	155-54-4	648	C00337	HMDB03349
363	dimethylarginine (SDMA + ADMA)	Amino Acid	Urea cycle; Arginine and Proline Metabolism	LC/MS Pos Early	100001810	2850	203.1503	102783-24-4	123831	C03626	HMDB01539
364	dimethylglycine	Amino Acid	Glycine, Serine and Threonine Metabolism	LC/MS Pos Early	806	1104	104.0706	1118-68-9	673	C01026	HMDB00092
365	dimethylmalonic acid	Lipid	Fatty Acid, Dicarboxylate	LC/MS Polar	100004251	2702	131.035	595-46-0	11686		HMDB02001
366	diphenhydramine	Xenobiotics	Drug - Respiratory	LC/MS Pos Late	100002732	911	256.1696	147-24-0	3100	C06960	HMDB01927
367	dipicolinate	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100000146	1695	168.0291	499-83-2	10367		
368	docosadienoate (22:2n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	LC/MS Neg	100001182	6034	335.2956	7370-49-2	5282807	C16533	HMDB61714
369	docosahexaenoate (DHA; 22:6n3)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	LC/MS Neg	100000665	5525	327.233	6217-54-5	445580	C06429	HMDB02183
370	docosapentaenoate (n3 DPA; 22:5n3)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	LC/MS Neg	100001181	5571	329.2486	2234-74-4	6441454	C16513	HMDB06528
371	docosapentaenoate (n6 DPA; 22:5n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	LC/MS Neg	100001580	5624.5	329.2486	25182-74-5	6441454	C16513	HMDB01976
372	dodecanedioate (C12-DC)	Lipid	Fatty Acid, Dicarboxylate	LC/MS Neg	100001102	2990	229.1445	693-23-2	12736	C02678	HMDB00623
373	D-urobilin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	LC/MS Pos Late	100002569	935	589.3021	3947-38-4	6276321	C05795	HMDB04161
374	eicosanoylsphingosine (d20:1)*	Lipid	Sphingolipid Metabolism	LC/MS Pos Late	100015870	1443	328.321		.		
375	eicosapentaenoate (EPA; 20:5n3)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	LC/MS Neg	2050	5450	301.2173	10-2005-9;10417-94-4	446284	C06428	HMDB01999
376	eicosenoate (20:1)	Lipid	Long Chain Fatty Acid	LC/MS Neg	100001335	5950	309.2799		5282768	C16526	HMDB02231
377	eicosenoylcarnitine (C20:1)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015838	1484	454.3891		.		
378	enterodiol	Xenobiotics	Food Component/Plant	LC/MS Neg	100003072	4327	301.1445	80226-00-2	123725		
379	enterolactone	Xenobiotics	Food Component/Plant	LC/MS Neg	100003070	4515	297.1132	78473-71-9	10685477		
380	epiandrosterone sulfate	Lipid	Androgenic Steroids	LC/MS Neg	100001287	4855	369.1741	22229-22-7	9929317		
381	epicatechin	Xenobiotics	Food Component/Plant	LC/MS Neg	2070	2868	289.0718	490-46-0	72276	C09727	HMDB01871
382	epsilon-caprolactam	Xenobiotics	Bacterial/Fungal	LC/MS Pos Early	100008938	2081	114.0913	105-60-2	.	C06593	
383	ergosterol	Lipid	Sterol	LC/MS Pos Late	100001020	2420	379.3359	57-87-4	444679	C01694	HMDB00878
384	ergothioneine	Xenobiotics	Food Component/Plant	LC/MS Pos Early	100002154	850	230.0958	58511-63-0	3032311	C05570	HMDB03045
385	erucate (22:1n9)	Lipid	Long Chain Fatty Acid	LC/MS Neg	1087	6355.6	337.3112	112-86-7	5281116	C08316	HMDB02068
386	erucoylcarnitine (C22:1)*	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	LC/MS Pos Late	100015841	1535	482.4204		.		
387	erythronate*	Carbohydrate	Aminosugar Metabolism	LC/MS Polar	100001320	2186	135.0299	88759-55-1	2781043		HMDB00613
388	erythrose	Xenobiotics	Food Component/Plant	LC/MS Neg	100001042	780	119.035	583-50-6	94176	C01796	HMDB02649
389	ethylmalonate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	LC/MS Polar	2054	2785	131.035	601-75-2	11756		HMDB00622
390	flavin adenine dinucleotide (FAD)	Cofactors and Vitamins	Riboflavin Metabolism	LC/MS Neg	327	2425	784.1499	146-14-5;84366-81-4	643975	C00016	HMDB01248
391	ferulate	Xenobiotics	Food Component/Plant	LC/MS Neg	100001542	1755	193.0506	537-98-4	445858	C01494	HMDB00954
392	ferulic acid 4-sulfate	Xenobiotics	Food Component/Plant	LC/MS Neg	100005389	1200	273.0074	86321-29-1	6305574		HMDB29200
393	fexofenadine	Xenobiotics	Drug - Respiratory	LC/MS Pos Late	100004018	944	502.2952	83799-24-0	3348	C06999	HMDB05030
394	flavin mononucleotide (FMN)	Cofactors and Vitamins	Riboflavin Metabolism	LC/MS Neg	100000251	2390	455.0973	130-40-5	710	C00061	HMDB01520
395	formiminoglutamate	Amino Acid	Histidine Metabolism	LC/MS Pos Early	100002500	1880	175.0713	816-90-0	439233	C00439	HMDB00854
